iter	Passed	Remaining
402	12090	17910
403	12117	17876
404	12145	17844
405	12172	17809
406	12200	17776
407	12228	17744
408	12255	17709
409	12284	17677
410	12310	17642
411	12337	17607
412	12364	17573
413	12391	17539
414	12419	17506
415	12447	17474
416	12476	17442
417	12505	17411
418	12532	17377
419	12561	17346
420	12587	17312
421	12615	17278
422	12642	17245
423	12669	17211
424	12696	17178
425	12742	17169
426	12771	17138
427	12800	17106
428	12829	17075
429	12858	17044
430	12885	17011
431	12913	16978
432	12942	16947
433	12969	16913
434	12997	16881
435	13026	16850
436	13053	16817
437	13081	16785
438	13110	16754
439	13139	16723
440	13167	16690
441	13195	16658
442	13223	16626
443	13251	16594
444	13283	16566
445	13311	16535
446	13340	16503
447	13369	16472
448	13399	16443
449	13425	16409
450	13452	16376
451	13480	16343
452	13509	16312
453	13538	16281
454	13566	16250
455	13594	16218
456	13622	16185
457	13648	16152
458	13677	16120
459	13703	16086
460	13729	16052
461	13758	16022
462	13787	15990
463	13814	15957
464	13842	15926
465	13871	15895
466	13897	15861
467	13925	15830
468	13953	15797
469	13984	15769
470	14012	15737
471	14039	15705
472	14072	15679
473	14102	15649
474	14139	15627
475	14173	15603
476	14204	15574
477	14233	15543
478	14261	15511
479	14289	15479
480	14317	15448
481	14345	15416
482	14376	15388
483	14406	15358
484	14438	15332
485	14468	15301
486	14497	15271
487	14523	15238
488	14551	15206
489	14578	15173
490	14604	15140
491	14633	15108
492	14661	15077
493	14689	15046
494	14715	15013
495	14744	14982
496	14771	14950
497	14800	14919
498	14827	14886
499	14854	14854
500	14880	14821
501	14907	14788
502	14932	14754
503	14961	14723
504	14988	14692
505	15017	14661
506	15044	14629
507	15072	14597
508	15101	14567
509	15129	14536
510	15157	14504
511	15184	14473
512	15210	14439
513	15235	14405
514	15263	14373
515	15292	14343
516	15320	14313
517	15349	14283
518	15378	14252
519	15406	14221
520	15432	14188
521	15458	14155
522	15484	14122
523	15511	14090
524	15546	14066
525	15578	14038
526	15606	14006
527	15634	13976
528	15662	13945
529	15689	13913
530	15717	13882
531	15745	13851
532	15773	13820
533	15800	13788
534	15828	13757
535	15854	13724
536	15883	13694
537	15911	13664
538	15938	13631
539	15964	13599
540	15992	13568
541	16020	13537
542	16047	13506
543	16081	13479
544	16110	13449
545	16137	13418
546	16172	13393
547	16202	13363
548	16229	13332
549	16257	13301
550	16285	13271
551	16313	13240
552	16341	13209
553	16369	13178
554	16396	13147
555	16424	13116
556	16452	13085
557	16478	13052
558	16506	13021
559	16534	12991
560	16560	12959
561	16588	12928
562	16616	12897
563	16642	12865
564	16671	12835
565	16698	12804
566	16725	12773
567	16754	12742
568	16781	12711
569	16806	12678
570	16833	12647
571	16860	12616
572	16887	12584
573	16912	12551
574	16939	12520
