iter	RMSE
416	2.76233914
417	2.760869792
418	2.758434488
419	2.758166172
420	2.755562254
421	2.75210534
422	2.751413427
423	2.748921348
424	2.747611199
425	2.744840166
426	2.742974707
427	2.742635448
428	2.740999315
429	2.739255842
430	2.735366567
431	2.735219428
432	2.733913587
433	2.730767978
434	2.728418438
435	2.727999433
436	2.727584051
437	2.724971391
438	2.723426851
439	2.721745174
440	2.717527554
441	2.715358424
442	2.713283476
443	2.711528873
444	2.711128032
445	2.70844403
446	2.705794468
447	2.704137724
448	2.704022616
449	2.703618533
450	2.702403007
451	2.700412615
452	2.698136318
453	2.697900328
454	2.696458145
455	2.69324701
456	2.690644845
457	2.689280997
458	2.68794682
459	2.685336766
460	2.683180641
461	2.682712195
462	2.681888833
463	2.680974774
464	2.680411709
465	2.676977077
466	2.676593017
467	2.674133885
468	2.673366912
469	2.670363098
470	2.668591887
471	2.667542877
472	2.666052757
473	2.665898135
474	2.665238965
475	2.664136055
476	2.662657324
477	2.660498341
478	2.658290586
479	2.65578516
480	2.65415403
481	2.653756488
482	2.652048441
483	2.649689385
484	2.64714106
485	2.645497327
486	2.643308124
487	2.642131039
488	2.640068483
489	2.63995419
490	2.638953814
491	2.635989178
492	2.632763998
493	2.630568369
494	2.629301293
495	2.62746369
496	2.626358355
497	2.624739908
498	2.623389848
499	2.620181153
500	2.618009383
501	2.617145289
502	2.614750535
503	2.612737643
504	2.610395041
505	2.609851265
506	2.609557251
507	2.606326609
508	2.604857252
509	2.602400319
510	2.601478069
511	2.601319641
512	2.599661837
513	2.597598261
514	2.595104325
515	2.594414091
516	2.593769274
517	2.592658914
518	2.590016291
519	2.587087927
520	2.586456695
521	2.586331505
522	2.584088658
523	2.583142275
524	2.581085552
525	2.58042186
526	2.579761923
527	2.579527054
528	2.578935487
529	2.57632495
530	2.575422828
531	2.572554664
532	2.570429681
533	2.568933655
534	2.566891312
535	2.564092162
536	2.562898333
537	2.560558663
538	2.560219491
539	2.556814374
540	2.555413306
541	2.553610811
542	2.551983815
543	2.55069845
544	2.550215879
545	2.549017652
546	2.546908641
547	2.54652828
548	2.545109323
549	2.542987024
550	2.542230629
551	2.540023622
552	2.537857068
553	2.536593734
554	2.536448566
555	2.533978506
556	2.531913183
557	2.53050322
558	2.529766874
559	2.527919606
560	2.526598494
561	2.523751878
562	2.522909135
563	2.520777482
564	2.51911707
565	2.517597812
566	2.516211035
567	2.515707245
568	2.513812726
569	2.510992607
570	2.510559425
571	2.508778872
572	2.506697706
573	2.505665914
574	2.502759015
575	2.501072555
576	2.499341388
577	2.49906162
578	2.498869474
579	2.496640103
580	2.49557177
581	2.494699344
582	2.491926549
583	2.49089111
584	2.490548092
585	2.488863596
586	2.486798331
587	2.485749886
588	2.484940106
589	2.482894047
590	2.482803659
591	2.481918499
592	2.480223639
593	2.479613285
594	2.478847274
595	2.478567355
596	2.478364709
597	2.477944578
598	2.476517655
599	2.47338393
600	2.47245596
601	2.471726145
602	2.470147585
603	2.468279676
604	2.466778104
605	2.465070331
606	2.464684234
607	2.463145794
608	2.462606903
609	2.460476601
610	2.456744375
611	2.456035727
612	2.455793947
613	2.455270509
614	2.452817622
615	2.452607845
616	2.451017317
617	2.450255345
618	2.449553967
619	2.446506564
620	2.445949135
621	2.444738466
622	2.444400787
623	2.442582235
624	2.442455702
625	2.439972931
626	2.439643
627	2.437879422
628	2.437348346
629	2.436563373
630	2.435599635
631	2.432978225
632	2.431289542
633	2.430906977
634	2.430271226
635	2.428457625
636	2.428009367
637	2.425601015
638	2.423927953
639	2.422381052
640	2.421459175
641	2.421393594
642	2.420528488
643	2.420469998
644	2.419686267
645	2.419595705
646	2.417732438
647	2.417547699
648	2.416260504
649	2.415562954
650	2.414652482
651	2.413561964
652	2.412621508
653	2.412382966
654	2.412222757
655	2.410785887
656	2.40876488
657	2.407232972
658	2.406428249
659	2.405894366
660	2.404266143
661	2.403229412
662	2.40290786
663	2.401663313
664	2.400397543
665	2.400064998
666	2.399984259
667	2.398555058
668	2.397947472
669	2.396183835
670	2.39363345
671	2.392414279
672	2.38980127
673	2.38836037
674	2.385417526
675	2.384956804
676	2.383229876
677	2.382143564
678	2.380804273
679	2.378760019
680	2.377453057
681	2.37720276
682	2.3763447
683	2.375659526
684	2.37415224
685	2.372511284
686	2.370297088
687	2.368162171
688	2.367372751
689	2.365093389
690	2.364289019
691	2.362120569
692	2.360965737
693	2.358589116
694	2.358104856
695	2.356194701
696	2.355974739
697	2.355818995
698	2.353563142
699	2.352277092
700	2.350414511
701	2.349330079
702	2.348442452
703	2.346771944
704	2.344608345
705	2.343690884
706	2.341949672
707	2.340844976
708	2.340456393
709	2.340154398
710	2.340077999
711	2.338648043
712	2.337742599
713	2.337685095
714	2.337152939
715	2.334627036
716	2.334205365
717	2.33211464
718	2.331749934
719	2.329515093
720	2.328788694
721	2.327897579
722	2.326601337
723	2.324495546
724	2.3241184
725	2.323469982
726	2.322293472
727	2.31981108
728	2.317465405
729	2.316905921
730	2.316404567
731	2.316123246
732	2.313955285
733	2.312070495
734	2.310157332
735	2.30752826
736	2.306905809
737	2.305498417
738	2.305019582
739	2.304258586
740	2.302498407
741	2.302201015
742	2.301987415
743	2.29967035
744	2.299134734
745	2.298802884
746	2.297837284
747	2.296529526
748	2.295912709
749	2.295052958
750	2.29307245
751	2.292773232
752	2.292599347
753	2.292185096
754	2.291062233
755	2.289657105
756	2.289366475
757	2.28818992
758	2.285924414
759	2.283864472
760	2.282409796
761	2.281973077
762	2.280977956
763	2.279135708
764	2.278572925
765	2.27651647
766	2.275132386
767	2.27293536
768	2.272381035
769	2.269454194
770	2.26809787
771	2.267730499
772	2.266516564
773	2.264525841
774	2.263995558
775	2.263219538
776	2.26156669
777	2.258924683
778	2.257273773
779	2.256744909
780	2.255438036
781	2.254345548
782	2.252464424
783	2.251912149
784	2.250342715
785	2.249362377
786	2.249244684
787	2.246914307
788	2.245367118
789	2.24318224
790	2.242927261
791	2.242521884
792	2.242333711
793	2.241595411
794	2.240956075
795	2.240803633
796	2.23853379
797	2.237203503
798	2.236542217
799	2.235461731
800	2.233622823
801	2.233337039
802	2.232281728
803	2.230556065
804	2.23008561
805	2.229743059
806	2.227957113
807	2.226365148
808	2.225751778
809	2.224601861
810	2.222365888
811	2.220782079
812	2.219806911
813	2.218323746
814	2.215895719
815	2.215707472
816	2.213855183
817	2.213314047
818	2.212467414
819	2.211285108
820	2.210113204
821	2.208262717
822	2.207364263
823	2.20686575
824	2.205551112
825	2.20489674
826	2.203494894
827	2.203126176
828	2.202456114
829	2.202173929
830	2.201226488
831	2.199859862
832	2.199782765
833	2.198820054
834	2.197258935
835	2.196701774
836	2.196498098
837	2.194713205
838	2.193143519
839	2.190986802
840	2.189153847
841	2.188296934
842	2.187506255
843	2.186742497
844	2.183850402
845	2.182457885
846	2.182305215
847	2.181696945
848	2.181236317
849	2.181143988
850	2.18004112
851	2.17884274
852	2.178606751
853	2.177167029
854	2.176568483
855	2.174875089
856	2.174542522
857	2.173761742
858	2.172820216
859	2.171558664
860	2.171390231
861	2.170010741
862	2.168896273
863	2.167374796
864	2.165698043
865	2.165267948
866	2.163536363
867	2.162562935
868	2.160828436
869	2.159903564
870	2.157025775
871	2.155226546
872	2.155161277
873	2.154355499
874	2.152742613
875	2.15261504
876	2.151607492
877	2.151304999
878	2.149347213
879	2.14813453
880	2.148081593
881	2.146971575
882	2.145280256
883	2.144286131
884	2.143696188
885	2.143624574
886	2.142067985
887	2.140753462
888	2.139751265
889	2.138036351
890	2.136448664
891	2.13627912
892	2.135537523
893	2.135396772
894	2.134664886
895	2.133790657
896	2.133036741
897	2.131707076
898	2.130640431
899	2.128778686
900	2.128513982
901	2.12744569
902	2.126050047
903	2.123614666
904	2.122951972
905	2.121693143
906	2.120353852
907	2.120051547
908	2.119780968
909	2.118283587
910	2.117741287
911	2.117080172
912	2.115990928
913	2.114327643
914	2.11176712
915	2.110426069
916	2.107598664
917	2.107173662
918	2.106168878
919	2.104227134
920	2.102078768
921	2.101009811
922	2.099784276
923	2.099113779
924	2.098633017
925	2.097465786
926	2.096984035
927	2.09493426
928	2.093888572
929	2.090824226
930	2.089271994
931	2.088493743
932	2.087244772
933	2.086932792
934	2.08583617
935	2.08479971
936	2.084041259
937	2.083270537
938	2.082157184
939	2.080274245
940	2.078982717
941	2.077996443
942	2.076625065
943	2.075577061
944	2.074911201
945	2.074262104
946	2.073343052
947	2.072188144
948	2.071488087
949	2.071011717
950	2.069260613
951	2.069105255
952	2.068080707
953	2.066203097
954	2.066089846
955	2.064675129
956	2.064410438
957	2.063854568
958	2.062128296
959	2.06123728
960	2.06083864
961	2.060075517
962	2.059340824
963	2.059030881
964	2.057806521
965	2.056440038
966	2.054572296
967	2.053800109
968	2.052984362
969	2.051533719
970	2.051149996
971	2.050215611
972	2.049908424
973	2.047337595
974	2.047163645
975	2.04615316
976	2.044284086
977	2.044260838
978	2.043243789
979	2.042810572
980	2.041340682
981	2.041198345
982	2.041053308
983	2.041013102
984	2.040085801
985	2.039763494
986	2.038998326
987	2.03766088
988	2.037148703
989	2.035993051
990	2.034101864
991	2.032772089
992	2.031633478
993	2.030754957
994	2.028312141
995	2.02736217
996	2.025250433
997	2.02521034
998	2.025068043
999	2.024568003
